2024-11-19 17:18:17 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-19 17:18:18 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-19 17:18:18 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-19 17:18:18 INFO  LoginPageTests:21 - Login Page is Initialised
2024-11-19 17:18:19 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:18:19 INFO  LoginPage:65 - Expected page title: Login - HP Banking
2024-11-19 17:18:19 INFO  LoginPage:66 - Fetch page title: Login - HP Banking
2024-11-19 17:18:19 INFO  LoginPageTests:25 - Login Page is opened
2024-11-19 17:18:20 INFO  LoginPage:57 - Sign In button clicked
2024-11-19 17:18:20 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:18:20 INFO  LoginPage:80 - Fetch page title: Login - HP Banking
