2024-11-27 21:50:17 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-27 21:50:18 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-27 21:50:18 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-27 21:50:18 INFO  LoginPageTests:26 - Login Page is Initialised
2024-11-27 21:50:20 INFO  ActionUtils:95 - Fetching title of page...
2024-11-27 21:50:20 INFO  LoginPage:76 - Expected page title: Login - HP Banking
2024-11-27 21:50:20 INFO  LoginPage:77 - Fetch page title: Login - HP Banking
2024-11-27 21:50:20 INFO  LoginPageTests:30 - Login Page is opened
2024-11-27 21:50:21 INFO  LoginPageTests:93 - Driver tear down complete ...
