2024-11-27 22:13:16 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-27 22:13:18 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-27 22:13:18 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-27 22:13:18 INFO  LoginPageTests:26 - Login Page is Initialised
2024-11-27 22:13:19 INFO  ActionUtils:95 - Fetching title of page...
2024-11-27 22:13:19 INFO  LoginPage:76 - Expected page title: Login - HP Banking
2024-11-27 22:13:19 INFO  LoginPage:77 - Fetch page title: Login - HP Banking
2024-11-27 22:13:19 INFO  LoginPageTests:30 - Login Page is opened
2024-11-27 22:13:20 INFO  LoginPage:59 - Sign In button clicked
2024-11-27 22:13:20 INFO  ActionUtils:95 - Fetching title of page...
2024-11-27 22:13:20 INFO  LoginPage:91 - Fetch page title: User Dashboard - HP Banking
2024-11-27 22:13:20 INFO  ActionUtils:108 - Clicking button
2024-11-27 22:13:21 INFO  ActionUtils:95 - Fetching title of page...
2024-11-27 22:13:21 INFO  LoginPage:76 - Expected page title: Login - HP Banking
2024-11-27 22:13:21 INFO  LoginPage:77 - Fetch page title: Login - HP Banking
2024-11-27 22:13:21 INFO  LoginPageTests:93 - Driver tear down complete ...
