2024-11-27 22:31:58 INFO  LoginPageTests:44 - Setting up driver ...
2024-11-27 22:31:59 INFO  LoginPageTests:51 - Chrome browser initialized.
2024-11-27 22:31:59 INFO  LoginPageTests:66 - Driver setup complete ...
2024-11-27 22:31:59 INFO  LoginPageTests:26 - Login Page is Initialised
2024-11-27 22:32:01 INFO  ActionUtils:95 - Fetching title of page...
2024-11-27 22:32:01 INFO  LoginPage:76 - Expected page title: Login - HP Banking
2024-11-27 22:32:01 INFO  LoginPage:77 - Fetch page title: Login - HP Banking
2024-11-27 22:32:01 INFO  LoginPageTests:30 - Login Page is opened
2024-11-27 22:32:01 INFO  LoginPageTests:77 - Driver tear down complete ...
