2024-11-19 17:19:01 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-19 17:19:02 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-19 17:19:02 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-19 17:19:02 INFO  LoginPageTests:21 - Login Page is Initialised
2024-11-19 17:19:04 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:19:04 INFO  LoginPage:67 - Expected page title: Login - HP Banking
2024-11-19 17:19:04 INFO  LoginPage:68 - Fetch page title: Login - HP Banking
2024-11-19 17:19:04 INFO  LoginPageTests:25 - Login Page is opened
2024-11-19 17:19:04 INFO  LoginPage:57 - Sign In button clicked
2024-11-19 17:19:05 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:19:05 INFO  LoginPage:82 - Fetch page title: User Dashboard - HP Banking
